PMID,gene,drug,interaction
20812347,g1924,d3226,inhibitor
17016423,g1697,d2595,no_interaction
12243766,g1116,d3456,antagonist
17016423,g1601,d2676,no_interaction
20541672,g183,d2725,antagonist
17016423,g2099,d432,no_interaction
17016423,g741,d432,no_interaction
12535612,g849,d3047,cofactor
3622377,g730,d1878,agonist
16245223,g1884,d3311,inhibitor
1732532,g353,d2873,agonist
11525777,g1883,d2688,inhibitor
10597866,g1078,d236,antagonist
17016423,g447,d3100,no_interaction
17016423,g1641,d2677,no_interaction
17016423,g1602,d2564,no_interaction
11747625,g1138,d2371,agonist
17016423,g741,d2385,no_interaction
17016423,g36,d2146,no_interaction
12117866,g2319,d2781,inhibitor
17016423,g836,d3417,no_interaction
17016423,g23,d83,inhibitor
16138927,g1369,d3259,inhibitor
12007529,g1789,d2792,inhibitor
11352938,g644,d1823,inhibitor
15101793,g100,d2382,antagonist
10712236,g1626,d3234,product of
12434581,g1112,d3562,agonist
6413448,g111,d3259,inhibitor
12460705,g100,d3487,antagonist
17016423,g479,d2022,no_interaction
17016423,g1611,d432,no_interaction
17545544,g1279,d3226,antagonist
17016423,g1113,d1736,no_interaction
10188761,g1175,d286,antibody
11569611,g100,d2150,antagonist
11470741,g1060,d461,inhibitor
15629255,g677,d358,antagonist
11408526,g100,d3303,antagonist
17558897,g945,d2213,cofactor
15070923,g523,d3047,cofactor
17016423,g1602,d2409,no_interaction
8103596,g656,d2097,no_interaction
12748309,g1279,d3264,inhibitor
17016423,g836,d2261,no_interaction
17016423,g479,d2434,no_interaction
18308814,g1118,d2773,antagonist
1203620,g1066,d159,inhibitor
15464832,g1884,d2969,inhibitor
17016423,g1602,d2456,no_interaction
10027842,g1117,d1708,agonist
17016423,g1601,d83,no_interaction
17673199,g2150,d2589,negative modulator
20222714,g1552,d3548,inhibitor
17016423,g87,d3417,no_interaction
15157745,g353,d2873,agonist
9647478,g1249,d3394,inhibitor
17098211,g1884,d2723,inhibitor
14751502,g682,d2445,antagonist
20185318,g299,d1979,inhibitor
16846239,g1294,d3047,cofactor
19879888,g2200,d1954,inhibitor
17016423,g1847,d1736,no_interaction
17694093,g1037,d3529,inhibitor
16507850,g1601,d294,agonist
17016423,g36,d330,no_interaction
17016423,g479,d3417,no_interaction
19144697,g1931,d71,agonist
15198222,g1884,d446,inhibitor
173192,g1601,d2136,antagonist
17016423,g730,d3400,no_interaction
10932681,g1789,d2792,inhibitor
17016423,g1883,d2900,no_interaction
17016423,g87,d2434,no_interaction
17016423,g833,d2595,no_interaction
17016423,g836,d2564,no_interaction
20185318,g295,d1979,inhibitor
17016423,g1587,d2146,no_interaction
19449447,g1477,d2559,agonist
17469805,g1562,d3047,cofactor
17016423,g2366,d2385,no_interaction
8876023,g1113,d160,antagonist
17762320,g293,d3564,inhibitor
14716203,g1268,d318,inhibitor
19644682,g1113,d3568,antagonist
17016423,g833,d2676,no_interaction
25981132,g1667,d2774,inhibitor
17126531,g302,d3005,inhibitor
15068862,g2291,d2339,agonist
6409111,g111,d3259,inhibitor
17016423,g87,d2988,no_interaction
476986,g2320,d435,inhibitor
17016423,g1641,d2670,no_interaction
17016423,g2402,d2809,no_interaction
11553608,g1441,d3047,cofactor
23553601,g1169,d3120,binder
12850267,g1294,d3047,cofactor
19542488,g1358,d2850,inhibitor
17016423,g23,d2988,no_interaction
19226257,g480,d1943,agonist
18544567,g1807,d2579,agonist
21587264,g1034,d3144,inhibitor
6140014,g322,d1869,inhibitor
8662608,g469,d1759,ligand
9257083,g1116,d1924,antagonist
17145876,g1033,d2839,inhibitor
17016423,g1641,d2988,no_interaction
21091776,g2413,d1805,inhibitor
12760377,g183,d2697,agonist
19498041,g449,d2950,agonist
17016423,g1810,d2988,no_interaction
10051426,g2003,d157,antagonist
17016423,g36,d2564,no_interaction
3320565,g183,d2725,antagonist
12527213,g2291,d2339,agonist
17016423,g574,d2123,no_interaction
22813448,g2414,d92,binder
9454790,g448,d1907,antagonist
18824613,g449,d2950,agonist
17016423,g447,d3417,no_interaction
18574460,g2026,d3030,inhibitor
20185318,g296,d1979,inhibitor
17016423,g1641,d1693,no_interaction
10340919,g1884,d2561,inhibitor
17016423,g1884,d2677,no_interaction
17016423,g479,d2071,no_interaction
17636172,g1385,d1752,agonist
17016423,g2366,d3417,no_interaction
17016423,g1697,d2071,no_interaction
12475777,g19,d2203,no_interaction
17016423,g574,d330,no_interaction
17016423,g2412,d3400,no_interaction
17016423,g1847,d2261,no_interaction
17016423,g479,d1868,no_interaction
17553470,g656,d2471,agonist
17016423,g1113,d3440,no_interaction
9873034,g1579,d2640,inhibitor
12398570,g92,d447,antagonist
17016423,g730,d1740,no_interaction
18600528,g2366,d3434,inhibitor
17405825,g183,d2697,agonist
18471102,g2311,d1996,inhibitor
17016423,g836,d2842,no_interaction
17016423,g2366,d2900,no_interaction
16472864,g1239,d1804,antagonist
7554708,g1883,d2688,inhibitor
18061638,g183,d1806,agonist
17016423,g1174,d2809,no_interaction
18691132,g1109,d3145,agonist
12475777,g19,d2202,binder
17016423,g833,d2809,no_interaction
9732369,g447,d2306,antagonist
8875133,g1357,d2662,inhibitor
10961955,g2028,d2113,inhibitor
17016423,g293,d330,no_interaction
9464897,g92,d2750,agonist
17591676,g1598,d2996,activator
18559524,g1274,d2731,inhibitor
18485086,g1645,d2997,antagonist
17371192,g741,d197,inhibitor
11132243,g1115,d3129,antagonist
16166440,g2352,d1740,inhibitor
20682597,g2266,d1805,inhibitor
17016423,g1810,d3440,no_interaction
11720080,g1113,d2621,antagonist
17016423,g741,d3419,no_interaction
11726713,g2195,d3047,cofactor
2679799,g1360,d2041,antagonist
17016423,g1602,d2123,no_interaction
15121485,g2242,d203,antagonist
17016423,g23,d2676,no_interaction
17016423,g2099,d2456,no_interaction
20424816,g1194,d2362,agonist
8073394,g1766,d146,antagonist
17016423,g1884,d2123,no_interaction
17016423,g836,d2900,no_interaction
19744340,g1601,d2128,agonist
9195366,g1601,d2557,agonist
16641841,g1358,d2850,inhibitor
11697552,g1108,d132,antagonist
18282775,g1695,d1698,inhibitor
12196472,g19,d2702,inhibitor
15661631,g2149,d163,negative modulator
12107644,g121,d148,inducer
18393142,g741,d197,inhibitor
8836913,g1139,d2369,binder
15102890,g9,d2215,inhibitor
8991786,g1358,d3564,inhibitor
16843095,g1698,d81,product of
11264449,g830,d3354,potentiator
17016423,g830,d2677,no_interaction
9558716,g730,d1878,agonist
7855217,g656,d1679,no_interaction
17103262,g730,d2554,agonist
21486038,g2150,d3530,inhibitor
17016423,g1810,d3100,no_interaction
17016423,g836,d2385,no_interaction
10433496,g92,d2689,antagonist
11132243,g656,d2830,antagonist
19427182,g9,d3014,inhibitor
25598831,g2141,d1987,antagonist
19966183,g1477,d2559,agonist
17016423,g2148,d2750,no_interaction
14687437,g1737,d2557,agonist
17016423,g1645,d330,no_interaction
17016423,g730,d2409,no_interaction
17016423,g183,d2900,no_interaction
17016423,g2412,d1868,no_interaction
17016423,g1587,d2677,no_interaction
17016423,g741,d2146,no_interaction
17016423,g1174,d2434,no_interaction
16925508,g1115,d3195,antagonist
12726817,g1259,d1868,other
21088277,g1400,d2742,inhibitor
17016423,g1645,d2385,no_interaction
8101879,g656,d1679,antagonist
14672731,g730,d2753,agonist
19788928,g1874,d1903,agonist
17016423,g831,d1740,no_interaction
17284757,g758,d2490,ligand
8521855,g1792,d1712,inducer
11448221,g631,d3442,inhibitor
3139361,g1737,d1849,agonist
17094978,g730,d2554,agonist
17016423,g1174,d1693,no_interaction
11053058,g633,d2450,inhibitor
17016423,g741,d2261,no_interaction
16041398,g2413,d1805,inhibitor
17584458,g138,d3251,inhibitor
11683476,g100,d3295,antagonist
17016423,g87,d532,no_interaction
17016423,g447,d2441,no_interaction
15955613,g2148,d2589,negative modulator
18715952,g1875,d1903,agonist
19571144,g2099,d3330,inhibitor
14642974,g1113,d221,antagonist
17016423,g1645,d2809,no_interaction
17016423,g2366,d2750,no_interaction
11340119,g933,d3047,activator
11299519,g815,d3477,agonist
17016423,g1645,d2146,no_interaction
17016423,g293,d2900,no_interaction
15955613,g1357,d2589,inhibitor
17016423,g830,d2123,antagonist
17459764,g1884,d2318,inhibitor
24045179,g414,d3112,antagonist
17016423,g1601,d2750,no_interaction
17016423,g1602,d432,no_interaction
15837705,g1913,d2715,binder
11132243,g1113,d3129,antagonist
12604714,g183,d3327,agonist
17016423,g1602,d2809,no_interaction
10376921,g1246,d236,inhibitor
23320989,g657,d443,partial agonist
16627399,g899,d2076,agonist
11258648,g1601,d379,antagonist
16267649,g1766,d1746,inhibitor
18516076,g720,d2559,inhibitor
3071951,g183,d2725,antagonist
15720245,g2353,d1740,inhibitor
2351672,g2307,d318,other
17327465,g105,d2728,agonist
20030735,g85,d3539,agonist
17016423,g833,d2564,no_interaction
11730731,g1601,d379,antagonist
17016423,g1601,d3419,no_interaction
17016423,g1602,d3504,no_interaction
17016423,g618,d2434,no_interaction
17450217,g1159,d226,inducer
17016423,g2402,d2677,no_interaction
17016423,g2366,d2842,no_interaction
17287200,g231,d3495,agonist
12016548,g1884,d370,inhibitor
17016423,g1587,d2022,no_interaction
8911881,g92,d2098,agonist
9152412,g1883,d3311,inhibitor
7989460,g1095,d3436,inhibitor
17016423,g1645,d2595,no_interaction
17016423,g830,d2385,no_interaction
10580458,g1884,d3139,inhibitor
2386110,g1601,d3124,agonist
10852638,g1439,d2544,inhibitor
11094008,g2018,d2468,inhibitor
17016423,g1697,d3400,no_interaction
15617852,g100,d3303,antagonist
17202666,g229,d1747,antagonist
19389876,g676,d138,antagonist
17016423,g1587,d77,no_interaction
2758221,g1113,d2022,agonist
16627252,g2376,d2645,inhibitor
12542403,g730,d2165,antagonist
10533697,g287,d2592,inhibitor
16402123,g838,d1993,no_interaction
16472864,g1235,d1804,antagonist
15579115,g2357,d3511,other
17016423,g741,d2784,no_interaction
14688239,g941,d3047,cofactor
12480548,g366,d226,antagonist
15929991,g1027,d2715,agonist
17016423,g1587,d3419,no_interaction
16091736,g1806,d3259,negative modulator
17351760,g283,d2207,binder
15646817,g1642,d2819,agonist
23272794,g1120,d2330,antagonist
15498586,g100,d3303,antagonist
15272206,g1246,d236,inhibitor
17155857,g1698,d1697,inhibitor
12660248,g1379,d3156,cofactor
10091649,g631,d3442,inhibitor
15695169,g1476,d3078,multitarget
11040105,g2181,d3234,ligand
7530204,g1113,d3195,antagonist
1978244,g85,d2601,agonist
11248372,g2149,d2546,inhibitor
12522134,g1026,d2715,agonist
20524801,g36,d3237,inhibitor
16542139,g1175,d2286,modulator
19465361,g1559,d3435,antagonist
17016423,g831,d2750,no_interaction
17555598,g377,d105,inhibitor
16472864,g1236,d1804,antagonist
20188727,g1255,d2903,inhibitor
8182534,g352,d464,inducer
20235752,g1733,d1796,inhibitor
16507829,g800,d3226,inhibitor
17016423,g2148,d1868,no_interaction
17016423,g2366,d2441,no_interaction
11034583,g1117,d1708,agonist
16929463,g886,d2941,inducer
17016423,g87,d2409,no_interaction
9211565,g1117,d1703,agonist
17016423,g1641,d330,no_interaction
11906441,g730,d3285,antagonist
10844127,g1109,d3562,agonist
17605814,g802,d3264,inhibitor
17016423,g2402,d2784,no_interaction
10487207,g953,d3354,antagonist
17456767,g792,d2829,binder
12525272,g1112,d2022,agonist
17016423,g2366,d1736,no_interaction
17016423,g1587,d2409,no_interaction
17016423,g1884,d2809,no_interaction
18784156,g285,d1963,antibody
11311067,g92,d3130,agonist
11719704,g2149,d2546,inhibitor
15306243,g287,d1868,inhibitor
12090787,g92,d2155,agonist
25367716,g899,d1951,agonist
17639997,g2311,d2008,inhibitor
18847313,g565,d2974,antagonist
11118042,g1884,d3259,inhibitor
17626178,g456,d3493,partial agonist
17016423,g574,d2595,no_interaction
10421446,g38,d1968,inhibitor
19878872,g1709,d2985,inhibitor
17016423,g183,d2434,no_interaction
10607689,g1174,d1798,antibody
11315375,g1884,d1882,inhibitor
15255284,g730,d2798,antagonist
18559524,g801,d2731,inhibitor
17016423,g730,d77,no_interaction
17016423,g1641,d2564,no_interaction
10433700,g38,d1968,inhibitor
17016423,g36,d1740,no_interaction
17016423,g2099,d3419,no_interaction
11969359,g2296,d2341,inhibitor
18655883,g1642,d2819,agonist
17016423,g479,d2676,no_interaction
12803929,g2376,d2645,inhibitor
16153821,g730,d2798,antagonist
17016423,g36,d1868,no_interaction
23545936,g656,d2330,no_interaction
7599160,g1479,d2300,cofactor
12426127,g1366,d226,inducer
17016424,g800,d3226,inhibitor
15695169,g1477,d3078,multitarget
19181759,g343,d1701,agonist
17919259,g231,d1747,antagonist
17531224,g1721,d3047,cofactor
17016423,g36,d432,no_interaction
12671891,g1379,d3156,cofactor
17179993,g2366,d3434,inhibitor
12106802,g2149,d2907,inhibitor
17016423,g1174,d2123,no_interaction
17016423,g1645,d2434,no_interaction
17367763,g802,d3264,inhibitor
19119014,g301,d3425,no_interaction
17016423,g1883,d1693,no_interaction
15108178,g49,d2318,inducer
17694093,g1034,d3529,inhibitor
19930708,g574,d2075,inhibitor
8388192,g828,d210,agonist
15466450,g1114,d3302,antagonist
15466450,g1113,d3302,antagonist
9972766,g1635,d1864,agonist
17016423,g1847,d2842,no_interaction
14675762,g1931,d3297,agonist
2502209,g1766,d146,antagonist
17016423,g1810,d2809,no_interaction
12671891,g1378,d3156,cofactor
1407010,g1110,d2022,agonist
17016423,g1884,d3419,no_interaction
9806328,g656,d136,agonist
12176129,g1246,d2258,inhibitor
17501690,g656,d221,antagonist
15909120,g1601,d2643,antagonist
15979034,g1480,d1771,cofactor
10823899,g2149,d2546,inhibitor
17016423,g1587,d2842,no_interaction
15579516,g100,d3487,antagonist
2502672,g982,d68,other
15139789,g1116,d2834,antagonist
16736512,g46,d3205,antagonist
23545936,g1113,d2330,no_interaction
15821444,g1109,d3135,agonist
15374980,g721,d2445,antagonist
20185318,g293,d1979,inhibitor
17035141,g808,d2146,binder
8694852,g508,d2884,inhibitor
18691132,g1109,d3148,no_interaction
17016423,g183,d2385,no_interaction
10727523,g13,d3256,inhibitor
16546990,g1369,d3259,inhibitor
14640928,g1116,d2834,antagonist
15778128,g1884,d2200,inhibitor
19720750,g608,d1916,inhibitor
17016423,g831,d2441,no_interaction
17016423,g1602,d2434,no_interaction
10372826,g1883,d3259,inhibitor
16857825,g682,d2838,other
10641988,g657,d200,no_interaction
17429625,g2198,d1815,multitarget
17016423,g1611,d2123,no_interaction
16532449,g1856,d3047,cofactor
17016423,g1113,d2385,no_interaction
20151846,g730,d2165,antagonist
17016423,g1611,d2071,no_interaction
19389994,g574,d173,inhibitor
15811959,g1175,d1832,agonist
2887435,g1108,d2498,agonist
17016423,g293,d3504,no_interaction
16997906,g232,d3047,cofactor
17016423,g293,d1868,no_interaction
9398183,g248,d1968,inhibitor
15219283,g19,d3098,inhibitor
17016423,g830,d330,no_interaction
17016423,g830,d2750,no_interaction
8797532,g2149,d1736,inhibitor
17016423,g1847,d83,no_interaction
17016423,g1883,d1736,no_interaction
17016423,g833,d532,no_interaction
17016423,g1587,d1736,no_interaction
12644588,g1884,d3481,inhibitor
17389618,g262,d2595,product of
11054378,g463,d2579,inhibitor
17259377,g1884,d3159,inhibitor
11885959,g1884,d3265,inhibitor
16259579,g1789,d2792,inhibitor
25261794,g1632,d1983,antagonist
17016423,g830,d2441,no_interaction
15179449,g2266,d1805,inhibitor
20110043,g931,d1826,antagonist
18580862,g100,d3303,antagonist
12231070,g183,d2143,antagonist
19232013,g1874,d340,agonist
19520577,g287,d2058,inhibitor
10702256,g1188,d2289,binder
15821444,g1110,d1976,agonist
17016423,g574,d3123,no_interaction
18290715,g2412,d2019,agonist
16472864,g1237,d1804,antagonist
19732062,g1587,d2741,agonist
15595341,g1737,d2557,agonist
15756931,g1884,d3311,inhibitor
10921913,g2004,d157,antagonist
16516670,g1175,d1832,agonist
17016423,g618,d2809,no_interaction
11193006,g449,d3398,antagonist
15132128,g2366,d425,inhibitor
17212998,g396,d52,antagonist
8622076,g730,d2136,antagonist
8723169,g93,d212,agonist
17016423,g1602,d83,no_interaction
11440283,g487,d2000,inhibitor
20407761,g1109,d3562,agonist
7929150,g287,d2058,inhibitor
17016423,g831,d2564,no_interaction
17016423,g2148,d432,no_interaction
2156274,g1385,d1755,antagonist
18061638,g1737,d1806,agonist
17016423,g1883,d2676,no_interaction
17296815,g802,d3264,inhibitor
17016424,g1952,d3226,inhibitor
17315033,g2284,d1863,agonist
17016423,g1174,d3440,no_interaction
11264449,g959,d3354,antagonist
17016423,g1602,d2677,no_interaction
18691132,g658,d2498,agonist
12649191,g631,d3442,inhibitor
17465195,g2353,d3513,inhibitor
17016423,g831,d532,no_interaction
17016423,g36,d3100,no_interaction
17016423,g2099,d1693,no_interaction
16574446,g92,d2957,partial agonist
1386491,g1417,d419,inhibitor
17016423,g2402,d2441,no_interaction
17016423,g447,d3400,no_interaction
17016423,g2366,d2564,no_interaction
15814281,g1175,d1798,antibody
15466450,g1115,d3302,antagonist
17016423,g1847,d2784,no_interaction
17322491,g890,d2864,antagonist
22813448,g1734,d92,binder
16157482,g1737,d1946,agonist
19223416,g2099,d3330,inhibitor
17016423,g1697,d3417,no_interaction
11325413,g2150,d1856,inhibitor
11264449,g456,d2908,antagonist
17016423,g2148,d532,no_interaction
12109911,g656,d2651,binder
17016423,g830,d2434,no_interaction
17016423,g1611,d3419,no_interaction
3004987,g321,d407,agonist
19774211,g1478,d2072,inhibitor
17016423,g183,d1693,no_interaction
17016423,g833,d2385,no_interaction
17016423,g741,d2441,no_interaction
8748043,g656,d3568,antagonist
23409026,g23,d2985,inhibitor
17016423,g574,d3100,no_interaction
17016423,g1641,d2784,no_interaction
17016423,g574,d1740,no_interaction
18336052,g1078,d1846,antagonist
17016423,g1697,d2784,no_interaction
17016423,g618,d2595,no_interaction
12113647,g798,d2954,potentiator
16880785,g268,d3226,inhibitor
4039467,g730,d1806,agonist
17016423,g1810,d2022,no_interaction
17911465,g284,d2207,binder
25534555,g1476,d3294,agonist
9056643,g792,d2829,binder
12692940,g1180,d2995,antagonist
17016423,g2402,d2261,no_interaction
16449355,g1417,d419,inhibitor
17016423,g1641,d2676,no_interaction
16864903,g2003,d157,antagonist
19464167,g730,d3372,agonist
17016423,g1641,d3417,no_interaction
17016423,g1697,d2670,no_interaction
15907153,g1113,d2830,no_interaction
17472992,g677,d3207,antagonist
17016423,g2412,d83,no_interaction
17016423,g1883,d2261,no_interaction
12434581,g1112,d3135,agonist
15939622,g1884,d446,inhibitor
17016423,g831,d2809,no_interaction
17636160,g1475,d3334,cofactor
10421444,g38,d3456,inhibitor
20083608,g448,d2174,antagonist
17016423,g1611,d2441,no_interaction
14530017,g694,d2162,inhibitor
2175153,g730,d1849,agonist
17016423,g479,d2261,no_interaction
17016423,g293,d2146,no_interaction
2113031,g1592,d1875,inhibitor
17016423,g741,d2595,no_interaction
17308037,g1701,d1914,inhibitor
15237094,g1695,d3344,inhibitor
11221812,g1564,d1714,other
12590540,g2242,d203,antagonist
17016423,g479,d532,no_interaction
10354277,g19,d3392,other
19101832,g731,d1880,agonist
21926191,g1398,d401,antagonist
12181752,g765,d463,inhibitor
17016423,g1697,d2385,no_interaction
17016423,g1587,d2071,no_interaction
11132243,g1115,d2830,antagonist
25864487,g1697,d202,antagonist
17257398,g1879,d2331,agonist
11041537,g2149,d2844,inhibitor
6146346,g1078,d236,antagonist
17016423,g2099,d2441,no_interaction
17016423,g1697,d2809,no_interaction
7952157,g2320,d435,inhibitor
17902729,g1078,d1846,antagonist
17016423,g574,d3440,no_interaction
10649985,g287,d2592,inhibitor
18439678,g2292,d2339,agonist
23590413,g2140,d413,inhibitor
16899990,g308,d2638,inhibitor
15697329,g487,d3395,inhibitor
9506248,g92,d2155,agonist
15837316,g293,d3564,inhibitor
17016423,g618,d1693,no_interaction
20030735,g89,d3539,agonist
17234181,g830,d3350,antagonist
11301045,g1378,d3156,cofactor
18715952,g1872,d1903,agonist
9626023,g1883,d2556,inhibitor
9152412,g1884,d3311,inhibitor
22293084,g437,d2408,potentiator
12213053,g2149,d2546,inhibitor
36882,g1485,d2300,cofactor
10567199,g1884,d2561,inhibitor
7926307,g2134,d3249,ligand
11791081,g1602,d3238,antagonist
26384788,g1361,d1735,inhibitor
9557255,g1931,d77,agonist
23545936,g657,d2330,antagonist
16651710,g2181,d3234,ligand
